position, team_name, matches_played, points, season
1,Juventus,38,91,2015-2016
2,SSC Napoli,38,82,2015-2016
3,AS Roma,38,80,2015-2016
4,Inter,38,67,2015-2016
5,ACF Fiorentina,38,64,2015-2016
6,Sassuolo Calcio,38,61,2015-2016
7,AC Milan,38,57,2015-2016
8,Lazio Roma,38,54,2015-2016
9,Chievo Verona,38,50,2015-2016
10,Empoli FC,38,46,2015-2016
11,Genoa CFC,38,46,2015-2016
12,Torino FC,38,45,2015-2016
13,Atalanta,38,45,2015-2016
14,Bologna FC,38,42,2015-2016
15,Sampdoria,38,40,2015-2016
16,US Palermo,38,39,2015-2016
17,Udinese Calcio,38,39,2015-2016
18,Carpi FC,38,38,2015-2016
19,Frosinone Calcio,38,31,2015-2016
20,Hellas Verona,38,28,2015-2016
1,Juventus,38,91,2016-2017
2,AS Roma,38,87,2016-2017
3,SSC Napoli,38,86,2016-2017
4,Atalanta,38,72,2016-2017
5,Lazio Roma,38,70,2016-2017
6,AC Milan,38,63,2016-2017
7,Inter,38,62,2016-2017
8,ACF Fiorentina,38,60,2016-2017
9,Torino FC,38,53,2016-2017
10,Sampdoria,38,48,2016-2017
11,Cagliari Calcio,38,47,2016-2017
12,Sassuolo Calcio,38,46,2016-2017
13,Udinese Calcio,38,45,2016-2017
14,Chievo Verona,38,43,2016-2017
15,Bologna FC,38,41,2016-2017
16,Genoa CFC,38,36,2016-2017
17,FC Crotone,38,34,2016-2017
18,Empoli FC,38,32,2016-2017
19,US Palermo,38,26,2016-2017
20,Pescara Calcio,38,18,2016-2017
1,Juventus,38,95,2017-2018
2,SSC Napoli,38,91,2017-2018
3,AS Roma,38,77,2017-2018
4,Inter,38,72,2017-2018
5,Lazio Roma,38,72,2017-2018
6,AC Milan,38,64,2017-2018
7,Atalanta,38,60,2017-2018
8,ACF Fiorentina,38,57,2017-2018
9,Torino FC,38,54,2017-2018
10,Sampdoria,38,54,2017-2018
11,Sassuolo Calcio,38,43,2017-2018
12,Genoa CFC,38,41,2017-2018
13,Chievo Verona,38,40,2017-2018
14,Udinese Calcio,38,40,2017-2018
15,Bologna FC,38,39,2017-2018
16,Cagliari Calcio,38,39,2017-2018
17,SPAL 2013 Ferrara,38,38,2017-2018
18,FC Crotone,38,35,2017-2018
19,Hellas Verona,38,25,2017-2018
20,Benevento Calcio,38,21,2017-2018
1,Juventus,38,90,2018-2019
2,SSC Napoli,38,79,2018-2019
3,Atalanta,38,69,2018-2019
4,Inter,38,69,2018-2019
5,AC Milan,38,68,2018-2019
6,AS Roma,38,66,2018-2019
7,Torino FC,38,63,2018-2019
8,Lazio Roma,38,59,2018-2019
9,Sampdoria,38,53,2018-2019
10,Bologna FC,38,44,2018-2019
11,Sassuolo Calcio,38,43,2018-2019
12,Udinese Calcio,38,43,2018-2019
13,SPAL 2013 Ferrara,38,42,2018-2019
14,Parma Calcio 1913,38,41,2018-2019
15,Cagliari Calcio,38,41,2018-2019
16,ACF Fiorentina,38,41,2018-2019
17,Genoa CFC,38,38,2018-2019
18,Empoli FC,38,38,2018-2019
19,Frosinone Calcio,38,25,2018-2019
20,Chievo Verona,38,17,2018-2019
1,Juventus,38,83,2019-2020
2,Inter,38,82,2019-2020
3,Atalanta,38,78,2019-2020
4,Lazio Roma,38,78,2019-2020
5,AS Roma,38,70,2019-2020
6,AC Milan,38,66,2019-2020
7,SSC Napoli,38,62,2019-2020
8,Sassuolo Calcio,38,51,2019-2020
9,Hellas Verona,38,49,2019-2020
10,ACF Fiorentina,38,49,2019-2020
11,Parma Calcio 1913,38,49,2019-2020
12,Bologna FC,38,47,2019-2020
13,Udinese Calcio,38,45,2019-2020
14,Cagliari Calcio,38,45,2019-2020
15,Sampdoria,38,42,2019-2020
16,Torino FC,38,40,2019-2020
17,Genoa CFC,38,39,2019-2020
18,US Lecce,38,35,2019-2020
19,Brescia Calcio,38,25,2019-2020
20,SPAL 2013 Ferrara,38,20,2019-2020
1,AC Milan,10,26,2020-2021
2,Inter,10,21,2020-2021
3,SSC Napoli,10,20,2020-2021
4,Juventus,10,20,2020-2021
5,Sassuolo Calcio,10,19,2020-2021
6,AS Roma,10,18,2020-2021
7,Lazio Roma,10,17,2020-2021
8,Hellas Verona,10,16,2020-2021
9,Atalanta,9,14,2020-2021
10,Bologna FC,10,12,2020-2021
11,Cagliari Calcio,10,12,2020-2021
12,Sampdoria,10,11,2020-2021
13,Benevento Calcio,10,11,2020-2021
14,Udinese Calcio,9,10,2020-2021
15,Spezia Calcio,10,10,2020-2021
16,Parma Calcio 1913,10,10,2020-2021
17,ACF Fiorentina,10,9,2020-2021
18,Torino FC,10,6,2020-2021
19,Genoa CFC,10,6,2020-2021
20,FC Crotone,10,2,2020-2021
